general_assembly,bill,fiscal_year,fund_group,fund,line_item,title,amount
123,hb282,2000,General Revenue Fund,GRF,200432,School Conflict Management,611645
123,hb282,2001,General Revenue Fund,GRF,200432,School Conflict Management,621524
123,hb282,2000,General Revenue Fund,GRF,200437,Student Proficiency,16097983
123,hb282,2001,General Revenue Fund,GRF,200437,Student Proficiency,15692045
123,hb282,2000,General Revenue Fund,GRF,200441,American Sign Language,231449
123,hb282,2001,General Revenue Fund,GRF,200441,American Sign Language,237003
123,hb282,2000,General Revenue Fund,GRF,200442,Child Care Licensing,1477003
123,hb282,2001,General Revenue Fund,GRF,200442,Child Care Licensing,1518359
123,hb282,2000,General Revenue Fund,GRF,200445,OhioReads Admin/Volunteer Support,5000000
123,hb282,2001,General Revenue Fund,GRF,200445,OhioReads Admin/Volunteer Support,5000000
123,hb282,2000,General Revenue Fund,GRF,200446,Education Management Information System,13799674
123,hb282,2001,General Revenue Fund,GRF,200446,Education Management Information System,12649674
123,hb282,2000,General Revenue Fund,GRF,200447,GED Testing/Adult High School,2033187
123,hb282,2001,General Revenue Fund,GRF,200447,GED Testing/Adult High School,2081983
123,hb282,2000,General Revenue Fund,GRF,200455,Community Schools,3500000
123,hb282,2001,General Revenue Fund,GRF,200455,Community Schools,3500000
123,hb282,2000,General Revenue Fund,GRF,200500,School Finance Equity,47608196
123,hb282,2001,General Revenue Fund,GRF,200500,School Finance Equity,33756194
123,hb282,2000,General Revenue Fund,GRF,200501,Base Cost Funding,3469673294
123,hb282,2001,General Revenue Fund,GRF,200501,Base Cost Funding,3794843963
123,hb282,2000,General Revenue Fund,GRF,200502,Pupil Transportation,266080719
123,hb282,2001,General Revenue Fund,GRF,200502,Pupil Transportation,291182101
123,hb282,2000,General Revenue Fund,GRF,200503,Bus Purchase Allowance,38132291
123,hb282,2001,General Revenue Fund,GRF,200503,Bus Purchase Allowance,39047466
123,hb282,2000,General Revenue Fund,GRF,200505,School Lunch Match,9450000
123,hb282,2001,General Revenue Fund,GRF,200505,School Lunch Match,9450000
123,hb282,2000,General Revenue Fund,GRF,200509,Adult Literacy Education,9361964
123,hb282,2001,General Revenue Fund,GRF,200509,Adult Literacy Education,9586651
123,hb282,2000,General Revenue Fund,GRF,200511,Auxiliary Services,110255190
123,hb282,2001,General Revenue Fund,GRF,200511,Auxiliary Services,118083309
123,hb282,2000,General Revenue Fund,GRF,200513,Summer Intervention,15500000
123,hb282,2001,General Revenue Fund,GRF,200513,Summer Intervention,15500000
123,hb282,2000,General Revenue Fund,GRF,200514,Post-Secondary/Adult Vocational Education,21254866
123,hb282,2001,General Revenue Fund,GRF,200514,Post-Secondary/Adult Vocational Education,23230243
123,hb282,2000,General Revenue Fund,GRF,200520,Disadvantaged Pupil Impact Aid,390708953
123,hb282,2001,General Revenue Fund,GRF,200520,Disadvantaged Pupil Impact Aid,390708953
123,hb282,2000,General Revenue Fund,GRF,200521,Gifted Pupil Program,41923505
123,hb282,2001,General Revenue Fund,GRF,200521,Gifted Pupil Program,44060601
123,hb282,2000,General Revenue Fund,GRF,200524,Educational Excellence and Competency,13548666
123,hb282,2001,General Revenue Fund,GRF,200524,Educational Excellence and Competency,11934667
123,hb282,2000,General Revenue Fund,GRF,200532,Nonpublic Administrative Cost Reimbursement,48062292
123,hb282,2001,General Revenue Fund,GRF,200532,Nonpublic Administrative Cost Reimbursement,51474714
123,hb282,2000,General Revenue Fund,GRF,200533,School-Age Child Care,1070720
123,hb282,2001,General Revenue Fund,GRF,200533,School-Age Child Care,1096417
123,hb282,2000,General Revenue Fund,GRF,200534,Desegregation Costs,12000000
123,hb282,2001,General Revenue Fund,GRF,200534,Desegregation Costs,11700000
123,hb282,2000,General Revenue Fund,GRF,200540,Special Education Enhancements,127842848
123,hb282,2001,General Revenue Fund,GRF,200540,Special Education Enhancements,139220164
123,hb282,2000,General Revenue Fund,GRF,200545,Vocational Education Enhancements,30793259
123,hb282,2001,General Revenue Fund,GRF,200545,Vocational Education Enhancements,32662107
123,hb282,2000,General Revenue Fund,GRF,200546,Charge-Off Supplement,10000000
123,hb282,2001,General Revenue Fund,GRF,200546,Charge-Off Supplement,14000000
123,hb282,2000,General Revenue Fund,GRF,200547,Power Equalization,21900000
123,hb282,2001,General Revenue Fund,GRF,200547,Power Equalization,34700000
123,hb282,2000,General Revenue Fund,GRF,200551,Reading Improvement,1704454
123,hb282,2001,General Revenue Fund,GRF,200551,Reading Improvement,1745361
123,hb282,2000,General Revenue Fund,GRF,200552,County MR/DD Boards Vehicle Purchases,1627152
